       PID	   SERVICE	      WAIT	  RESPONSE
        75	        10	       814	       824
        46	        12	      1002	      1014
        15	        11	      1008	      1019
        31	        11	      1061	      1072
         5	        14	      1190	      1204
        61	        13	      1203	      1216
        48	        15	      1377	      1392
         3	        16	      1389	      1405
        26	        16	      1390	      1406
        42	        16	      1451	      1467
        22	        18	      1571	      1589
        29	        20	      1738	      1758
        34	        20	      1760	      1780
        87	        19	      1813	      1832
        66	        21	      1911	      1932
        47	        21	      1934	      1955
        68	        21	      1960	      1981
        97	        23	      2089	      2112
        24	        24	      2145	      2169
         8	        28	      2407	      2435
        30	        29	      2616	      2645
        74	        29	      2625	      2654
        38	        32	      2763	      2795
        27	        32	      2773	      2805
        81	        34	      2928	      2962
        18	        34	      2939	      2973
        69	        35	      3035	      3070
        92	        38	      3172	      3210
        14	        37	      3178	      3215
        12	        38	      3193	      3231
        36	        38	      3193	      3231
        50	        37	      3225	      3262
        49	        41	      3484	      3525
         1	        43	      3575	      3618
        28	        44	      3580	      3624
        35	        43	      3612	      3655
        56	        45	      3704	      3749
        45	        46	      3709	      3755
        40	        45	      3710	      3755
        82	        45	      3721	      3766
        70	        46	      3739	      3785
        57	        48	      3827	      3875
        32	        47	      3828	      3875
        21	        48	      3827	      3875
        63	        48	      3860	      3908
        10	        49	      3939	      3988
        89	        52	      4048	      4100
        58	        51	      4069	      4120
        23	        54	      4168	      4222
        91	        57	      4352	      4409
        65	        58	      4376	      4434
        79	        59	      4467	      4526
        73	        62	      4551	      4613
         2	        62	      4549	      4611
        62	        61	      4543	      4604
        85	        61	      4560	      4621
        54	        62	      4565	      4627
        19	        63	      4631	      4694
        86	        64	      4636	      4700
        93	        64	      4638	      4702
        78	        66	      4713	      4779
        72	        65	      4712	      4777
        16	        66	      4721	      4787
        60	        65	      4724	      4789
        13	        65	      4722	      4787
        76	        68	      4792	      4860
        53	        70	      4856	      4926
        64	        69	      4855	      4924
         4	        70	      4858	      4928
        43	        72	      4917	      4989
        83	        71	      4915	      4986
        55	        72	      4915	      4987
        96	        73	      4970	      5043
        84	        76	      5031	      5107
        77	        77	      5079	      5156
        25	        80	      5123	      5203
        11	        81	      5165	      5246
        20	        87	      5323	      5410
        88	        87	      5325	      5412
        94	        87	      5306	      5393
        95	        89	      5362	      5451
        98	        90	      5361	      5451
        67	        89	      5363	      5452
        51	        89	      5350	      5439
        99	        90	      5349	      5439
        59	        92	      5368	      5460
        33	        91	      5356	      5447
        37	        94	      5408	      5502
        90	        93	      5394	      5487
        52	        93	      5384	      5477
         6	        97	      5462	      5559
        71	        97	      5431	      5528
        17	        97	      5428	      5525
       100	       101	      5465	      5566
         7	       104	      5464	      5568
        44	       104	      5461	      5565
        39	       106	      5507	      5613
         9	       105	      5461	      5566
        41	       109	      5473	      5582
        80	       109	      5452	      5561

Average Service Time: 56.36
Average Wait Time: 3884.42
Average Response Time: 3940.78
Time Quantum: 2
<--Finished Round Robin-->
