       PID	   SERVICE	      WAIT	  RESPONSE
        48	        15	        74	        89
         5	        14	       103	       117
        46	        12	       163	       175
        15	        11	       221	       232
        61	        13	       291	       304
        75	        10	       301	       311
         3	        16	       356	       372
        26	        16	       371	       387
        31	        11	       949	       960
        42	        16	      1157	      1173
        66	        21	      1572	      1593
        29	        20	      1605	      1625
        97	        23	      1760	      1783
        22	        18	      1777	      1795
         8	        28	      1778	      1806
        34	        20	      1982	      2002
        47	        21	      2030	      2051
        68	        21	      2326	      2347
        38	        32	      2362	      2394
        30	        29	      2483	      2512
        27	        32	      2525	      2557
        87	        19	      2572	      2591
        24	        24	      2590	      2614
        74	        29	      2641	      2670
        56	        45	      2884	      2929
         1	        43	      2924	      2967
        28	        44	      2995	      3039
        45	        46	      3022	      3068
        92	        38	      3045	      3083
        57	        48	      3178	      3226
        14	        37	      3209	      3246
        69	        35	      3214	      3249
        40	        45	      3231	      3276
        32	        47	      3242	      3289
        21	        48	      3255	      3303
        82	        45	      3379	      3424
        12	        38	      3392	      3430
        36	        38	      3410	      3448
        35	        43	      3600	      3643
        49	        41	      3669	      3710
        70	        46	      3693	      3739
        81	        34	      3763	      3797
        63	        48	      3797	      3845
        50	        37	      3812	      3849
        18	        34	      3833	      3867
        73	        62	      3943	      4005
         2	        62	      4009	      4071
        62	        61	      4057	      4118
        19	        63	      4070	      4133
        91	        57	      4126	      4183
        89	        52	      4164	      4216
        10	        49	      4206	      4255
        86	        64	      4313	      4377
        93	        64	      4329	      4393
        23	        54	      4436	      4490
        79	        59	      4470	      4529
        58	        51	      4509	      4560
        85	        61	      4553	      4614
        65	        58	      4640	      4698
        54	        62	      4650	      4712
        53	        70	      4867	      4937
        84	        76	      4871	      4947
        78	        66	      4881	      4947
        72	        65	      4908	      4973
        43	        72	      4924	      4996
        77	        77	      4946	      5023
        64	        69	      4956	      5025
         4	        70	      4991	      5061
        16	        66	      5011	      5077
        60	        65	      5028	      5093
        76	        68	      5027	      5095
        25	        80	      5028	      5108
        13	        65	      5056	      5121
        83	        71	      5070	      5141
        96	        73	      5103	      5176
        55	        72	      5111	      5183
        20	        87	      5190	      5277
        95	        89	      5195	      5284
        98	        90	      5202	      5292
        67	        89	      5240	      5329
        88	        87	      5248	      5335
        37	        94	      5242	      5336
        51	        89	      5254	      5343
        99	        90	      5261	      5351
        59	        92	      5288	      5380
        90	        93	      5299	      5392
        94	        87	      5367	      5454
        52	        93	      5378	      5471
        11	        81	      5387	      5468
        33	        91	      5400	      5491
         6	        97	      5462	      5559
        39	       106	      5460	      5566
       100	       101	      5447	      5548
        71	        97	      5442	      5539
         7	       104	      5441	      5545
        41	       109	      5443	      5552
        17	        97	      5456	      5553
        44	       104	      5456	      5560
         9	       105	      5456	      5561
        80	       109	      5452	      5561

Average Service Time: 56.36
Average Wait Time: 3772.55
Average Response Time: 3828.91
Time Quantum: 16
<--Finished Round Robin-->
