       PID	   SERVICE	      WAIT	  RESPONSE
        48	        15	       826	       841
         5	        14	       839	       853
        46	        12	       867	       879
        15	        11	       893	       904
        61	        13	       923	       936
        75	        10	       925	       935
         3	        16	       948	       964
        26	        16	       955	       971
        31	        11	      1229	      1240
        42	        16	      1325	      1341
        66	        21	      1564	      1585
        29	        20	      1581	      1601
        97	        23	      1656	      1679
        22	        18	      1665	      1683
        34	        20	      1762	      1782
        47	        21	      1786	      1807
        68	        21	      1930	      1951
        87	        19	      2051	      2070
        24	        24	      2061	      2085
         8	        28	      2331	      2359
        38	        32	      2597	      2629
        30	        29	      2654	      2683
        27	        32	      2672	      2704
        74	        29	      2721	      2750
        92	        38	      2955	      2993
        14	        37	      3031	      3068
        69	        35	      3036	      3071
        12	        38	      3125	      3163
        36	        38	      3135	      3173
        81	        34	      3310	      3344
        50	        37	      3335	      3372
        18	        34	      3348	      3382
        56	        45	      3447	      3492
         1	        43	      3463	      3506
        28	        44	      3494	      3538
        45	        46	      3505	      3551
        57	        48	      3567	      3615
        40	        45	      3588	      3633
        32	        47	      3591	      3638
        21	        48	      3596	      3644
        82	        45	      3656	      3701
        35	        43	      3753	      3796
        49	        41	      3782	      3823
        70	        46	      3790	      3836
        63	        48	      3836	      3884
        89	        52	      4043	      4095
        10	        49	      4061	      4110
        23	        54	      4171	      4225
        58	        51	      4209	      4260
        73	        62	      4357	      4419
         2	        62	      4383	      4445
        62	        61	      4399	      4460
        19	        63	      4404	      4467
        91	        57	      4428	      4485
        86	        64	      4506	      4570
        93	        64	      4514	      4578
        79	        59	      4577	      4636
        85	        61	      4609	      4670
        65	        58	      4648	      4706
        54	        62	      4650	      4712
        53	        70	      4779	      4849
        78	        66	      4789	      4855
        72	        65	      4800	      4865
        43	        72	      4808	      4880
        64	        69	      4827	      4896
         4	        70	      4846	      4916
        16	        66	      4858	      4924
        60	        65	      4867	      4932
        76	        68	      4866	      4934
        13	        65	      4879	      4944
        83	        71	      4885	      4956
        55	        72	      4909	      4981
        84	        76	      5044	      5120
        77	        77	      5068	      5145
        25	        80	      5092	      5172
        96	        73	      5119	      5192
        20	        87	      5190	      5277
        88	        87	      5228	      5315
        94	        87	      5281	      5368
        11	        81	      5288	      5369
        95	        89	      5362	      5451
        98	        90	      5361	      5451
        67	        89	      5375	      5464
        37	        94	      5362	      5456
        51	        89	      5366	      5455
        99	        90	      5365	      5455
        59	        92	      5368	      5460
        90	        93	      5371	      5464
        52	        93	      5395	      5488
        33	        91	      5400	      5491
         6	        97	      5462	      5559
       100	       101	      5445	      5546
        71	        97	      5440	      5537
         7	       104	      5439	      5543
        17	        97	      5449	      5546
        44	       104	      5449	      5553
        39	       106	      5507	      5613
        41	       109	      5468	      5577
         9	       105	      5464	      5569
        80	       109	      5452	      5561

Average Service Time: 56.36
Average Wait Time: 3847.86
Average Response Time: 3904.22
Time Quantum: 8
<--Finished Round Robin-->
